name,price,styles,skill_fit,weight_oz,handle_length,thickness_mm,power,control,spin,forgiveness,notes,image_url,buy_url,image_search_url,source_url,source_note,handle_category,weight_category,price_category,image_note
Honolulu J2CR Crystal Blue 16mm,195.0,all-court|spin|control,intermediate|advanced,8.05,5.5,16,8,9,10,9,"Popular 2026 overall pick with strong spin, long-lasting grit, and broad all-court appeal.",https://808pickle.com/cdn/shop/files/J2CR_CBES_W_edit_7c7aff07-5a92-4d77-9f92-a6e746760310_300x.png?v=1780272814,https://808pickle.com/products/j2cr-crystal-blue-endurance-surface%E2%84%A2-pre-order,https://www.google.com/search?tbm=isch&q=Honolulu+J2CR+Crystal+Blue+16mm+pickleball+paddle+product+photo,https://www.pickleheads.com/pickleball-gear/pickleball-paddles,Listed as best overall in Pickleheads June 2026 update; exact scores normalized for project use.,standard,medium,mid-range,real product or product-family image URL
Honolulu J2FC+ LH 16mm,195.0,all-court|doubles|control,intermediate|advanced,7.99,6.0,16,8,8,8,9,Long-handle all-court foam paddle with a very forgiving sweet spot.,https://808pickle.com/cdn/shop/files/J2CR_CBES_W_edit_7c7aff07-5a92-4d77-9f92-a6e746760310_300x.png?v=1780272814,https://808pickle.com/search?q=Honolulu+J2FC%2B+LH+16mm,https://www.google.com/search?tbm=isch&q=Honolulu+J2FC%2B+LH+16mm+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-all-court-pickleball-paddles,Specs from Pickleball Studio all-court list; trait scores normalized.,long,medium,mid-range,real product or product-family image URL
Honolulu J2FC+ SH 16mm,195.0,all-court|doubles|control,intermediate|advanced,7.95,5.5,16,8,8,8,9,Shorter-handle version of the J2FC+ for players who want maneuverability and forgiveness.,https://808pickle.com/cdn/shop/files/J2CR_CBES_W_edit_7c7aff07-5a92-4d77-9f92-a6e746760310_300x.png?v=1780272814,https://808pickle.com/search?q=Honolulu+J2FC%2B+SH+16mm,https://www.google.com/search?tbm=isch&q=Honolulu+J2FC%2B+SH+16mm+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-all-court-pickleball-paddles,Based on Pickleball Studio J2FC+ listing; specs are approximate for short-handle version.,standard,medium,mid-range,real product or product-family image URL
Six Zero Coral Elongated 16mm,200.0,all-court|singles|control,intermediate|advanced,7.94,5.75,16,8,9,8,8,Dense soft-feeling full foam all-court paddle with reach and good control.,https://us.sixzeropickleball.com/cdn/shop/files/CoralACPOTYBadgesProductImage.png?v=1769726762&width=1080,https://us.sixzeropickleball.com/products/coral-16mm,https://www.google.com/search?tbm=isch&q=Six+Zero+Coral+Elongated+16mm+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-all-court-pickleball-paddles,Specs from Pickleball Studio all-court list; trait scores normalized.,long,medium,mid-range,real product or product-family image URL
Six Zero Coral Hybrid 16mm,200.0,all-court|doubles|control,intermediate|advanced,8.18,5.5,16,8,9,8,8,Hybrid full foam all-court paddle with strong stability and balanced performance.,https://us.sixzeropickleball.com/cdn/shop/files/CoralACPOTYBadgesProductImage.png?v=1769726762&width=1080,https://us.sixzeropickleball.com/products/coral-16mm,https://www.google.com/search?tbm=isch&q=Six+Zero+Coral+Hybrid+16mm+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-all-court-pickleball-paddles,Specs from Pickleball Studio all-court list; trait scores normalized.,standard,heavy,mid-range,real product or product-family image URL
Six Zero Coral Widebody 16mm,200.0,all-court|doubles|control,beginner|intermediate|advanced,8.24,5.5,16,7,9,8,10,Widebody full foam option for players who want maximum forgiveness and stability.,https://us.sixzeropickleball.com/cdn/shop/files/CoralACPOTYBadgesProductImage.png?v=1769726762&width=1080,https://us.sixzeropickleball.com/products/coral-16mm,https://www.google.com/search?tbm=isch&q=Six+Zero+Coral+Widebody+16mm+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-all-court-pickleball-paddles,Specs from Pickleball Studio all-court list; trait scores normalized.,standard,heavy,mid-range,real product or product-family image URL
Six Zero Ruby Pro 14mm,225.0,control|spin|all-court,intermediate|advanced,8.0,5.5,14,7,9,10,8,"Control-focused paddle known for plush feel, spin, soft resets, and controlled offense.",https://us.sixzeropickleball.com/cdn/shop/files/RubyProIOTYBadgeProductImage.png?v=1769726818&width=1080,https://us.sixzeropickleball.com/products/ruby-pro-14mm,https://www.google.com/search?tbm=isch&q=Six+Zero+Ruby+Pro+14mm+pickleball+paddle+product+photo,https://pickleball.com/learn/best-pickleball-paddles-2026-choosing-the-right-one-for-you,"Included in 2026 control paddle guide; specs approximate, scores normalized.",standard,medium,premium,real product or product-family image URL
Six Zero Double Black Diamond Control 16mm,180.0,all-court|control|spin,intermediate|advanced,8.1,5.5,16,8,9,9,8,Classic all-court/control paddle with strong spin and a balanced feel.,https://us.sixzeropickleball.com/cdn/shop/files/Double-Black-Diamond-Control-Six-Zero-417078833.png?v=1747012971&width=1080,https://us.sixzeropickleball.com/products/double-black-diamond,https://www.google.com/search?tbm=isch&q=Six+Zero+Double+Black+Diamond+Control+16mm+pickleball+paddle+product+photo,https://us.sixzeropickleball.com/products/double-black-diamond,Brand/spec reference; scores normalized for recommender.,standard,medium,mid-range,real product or product-family image URL
Six Zero Black Opal 16mm,199.0,all-court|spin|control,intermediate|advanced,8.0,5.5,16,8,8,9,8,Balanced modern all-court option referenced as a good intermediate choice.,https://us.sixzeropickleball.com/cdn/shop/files/BLACKOPAL_FRONTALUSAP.png?v=1769726790&width=1080,https://us.sixzeropickleball.com/products/black-opal-14mm,https://www.google.com/search?tbm=isch&q=Six+Zero+Black+Opal+16mm+pickleball+paddle+product+photo,https://pickleball.com/learn/best-pickleball-paddles-2026-choosing-the-right-one-for-you,"Mentioned in current skill-level guide; specs approximate, scores normalized.",standard,medium,mid-range,real product or product-family image URL
Vatic Pro Saga Bloom 16mm,99.99,all-court|budget|doubles,beginner|intermediate,8.03,5.6,16,7,8,9,9,Budget widebody all-court option with high twist weight and strong spin.,https://vaticpro.com/cdn/shop/files/DSC03090.jpg?v=1777835695,https://vaticpro.com/products/saga,https://www.google.com/search?tbm=isch&q=Vatic+Pro+Saga+Bloom+16mm+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-all-court-pickleball-paddles,Specs from Pickleball Studio all-court list; trait scores normalized.,long,medium,budget,real product or product-family image URL
