name,price,styles,skill_fit,weight_oz,handle_length,thickness_mm,power,control,spin,forgiveness,notes,image_url,buy_url,image_search_url,source_url,source_note
Honolulu J2CR Crystal Blue 16mm,195.0,all-court|spin|control,intermediate|advanced,8.05,5.5,16,8,9,10,9,"Popular 2026 overall pick with strong spin, long-lasting grit, and broad all-court appeal.",https://placehold.co/600x400/png?text=Honolulu+J2CR+Crystal+Blue+16mm,https://www.google.com/search?tbm=shop&q=Honolulu+J2CR+Crystal+Blue+16mm+pickleball+paddle+buy,https://www.google.com/search?tbm=isch&q=Honolulu+J2CR+Crystal+Blue+16mm+pickleball+paddle+product+photo,https://www.pickleheads.com/pickleball-gear/pickleball-paddles,Listed as best overall in Pickleheads June 2026 update; exact scores normalized for project use.
Honolulu J2FC+ LH 16mm,195.0,all-court|doubles|control,intermediate|advanced,7.99,6.0,16,8,8,8,9,Long-handle all-court foam paddle with a very forgiving sweet spot.,https://placehold.co/600x400/png?text=Honolulu+J2FC%2B+LH+16mm,https://www.google.com/search?tbm=shop&q=Honolulu+J2FC%2B+LH+16mm+pickleball+paddle+buy,https://www.google.com/search?tbm=isch&q=Honolulu+J2FC%2B+LH+16mm+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-all-court-pickleball-paddles,Specs from Pickleball Studio all-court list; trait scores normalized.
Honolulu J2FC+ SH 16mm,195.0,all-court|doubles|control,intermediate|advanced,7.95,5.5,16,8,8,8,9,Shorter-handle version of the J2FC+ for players who want maneuverability and forgiveness.,https://placehold.co/600x400/png?text=Honolulu+J2FC%2B+SH+16mm,https://www.google.com/search?tbm=shop&q=Honolulu+J2FC%2B+SH+16mm+pickleball+paddle+buy,https://www.google.com/search?tbm=isch&q=Honolulu+J2FC%2B+SH+16mm+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-all-court-pickleball-paddles,Based on Pickleball Studio J2FC+ listing; specs are approximate for short-handle version.
Six Zero Coral Elongated 16mm,200.0,all-court|singles|control,intermediate|advanced,7.94,5.75,16,8,9,8,8,Dense soft-feeling full foam all-court paddle with reach and good control.,https://placehold.co/600x400/png?text=Six+Zero+Coral+Elongated+16mm,https://www.google.com/search?tbm=shop&q=Six+Zero+Coral+Elongated+16mm+pickleball+paddle+buy,https://www.google.com/search?tbm=isch&q=Six+Zero+Coral+Elongated+16mm+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-all-court-pickleball-paddles,Specs from Pickleball Studio all-court list; trait scores normalized.
Six Zero Coral Hybrid 16mm,200.0,all-court|doubles|control,intermediate|advanced,8.18,5.5,16,8,9,8,8,Hybrid full foam all-court paddle with strong stability and balanced performance.,https://placehold.co/600x400/png?text=Six+Zero+Coral+Hybrid+16mm,https://www.google.com/search?tbm=shop&q=Six+Zero+Coral+Hybrid+16mm+pickleball+paddle+buy,https://www.google.com/search?tbm=isch&q=Six+Zero+Coral+Hybrid+16mm+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-all-court-pickleball-paddles,Specs from Pickleball Studio all-court list; trait scores normalized.
Six Zero Coral Widebody 16mm,200.0,all-court|doubles|control,beginner|intermediate|advanced,8.24,5.5,16,7,9,8,10,Widebody full foam option for players who want maximum forgiveness and stability.,https://placehold.co/600x400/png?text=Six+Zero+Coral+Widebody+16mm,https://www.google.com/search?tbm=shop&q=Six+Zero+Coral+Widebody+16mm+pickleball+paddle+buy,https://www.google.com/search?tbm=isch&q=Six+Zero+Coral+Widebody+16mm+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-all-court-pickleball-paddles,Specs from Pickleball Studio all-court list; trait scores normalized.
Six Zero Ruby Pro 14mm,225.0,control|spin|all-court,intermediate|advanced,8.0,5.5,14,7,9,10,8,"Control-focused paddle known for plush feel, spin, soft resets, and controlled offense.",https://placehold.co/600x400/png?text=Six+Zero+Ruby+Pro+14mm,https://www.google.com/search?tbm=shop&q=Six+Zero+Ruby+Pro+14mm+pickleball+paddle+buy,https://www.google.com/search?tbm=isch&q=Six+Zero+Ruby+Pro+14mm+pickleball+paddle+product+photo,https://pickleball.com/learn/best-pickleball-paddles-2026-choosing-the-right-one-for-you,"Included in 2026 control paddle guide; specs approximate, scores normalized."
Six Zero Double Black Diamond Control 16mm,180.0,all-court|control|spin,intermediate|advanced,8.1,5.5,16,8,9,9,8,Classic all-court/control paddle with strong spin and a balanced feel.,https://placehold.co/600x400/png?text=Six+Zero+Double+Black+Diamond+Control+16mm,https://www.google.com/search?tbm=shop&q=Six+Zero+Double+Black+Diamond+Control+16mm+pickleball+paddle+buy,https://www.google.com/search?tbm=isch&q=Six+Zero+Double+Black+Diamond+Control+16mm+pickleball+paddle+product+photo,https://us.sixzeropickleball.com/products/double-black-diamond,Brand/spec reference; scores normalized for recommender.
Six Zero Black Opal 16mm,199.0,all-court|spin|control,intermediate|advanced,8.0,5.5,16,8,8,9,8,Balanced modern all-court option referenced as a good intermediate choice.,https://placehold.co/600x400/png?text=Six+Zero+Black+Opal+16mm,https://www.google.com/search?tbm=shop&q=Six+Zero+Black+Opal+16mm+pickleball+paddle+buy,https://www.google.com/search?tbm=isch&q=Six+Zero+Black+Opal+16mm+pickleball+paddle+product+photo,https://pickleball.com/learn/best-pickleball-paddles-2026-choosing-the-right-one-for-you,"Mentioned in current skill-level guide; specs approximate, scores normalized."
Vatic Pro Saga Bloom 16mm,99.99,all-court|budget|doubles,beginner|intermediate,8.03,5.6,16,7,8,9,9,Budget widebody all-court option with high twist weight and strong spin.,https://placehold.co/600x400/png?text=Vatic+Pro+Saga+Bloom+16mm,https://www.google.com/search?tbm=shop&q=Vatic+Pro+Saga+Bloom+16mm+pickleball+paddle+buy,https://www.google.com/search?tbm=isch&q=Vatic+Pro+Saga+Bloom+16mm+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-all-court-pickleball-paddles,Specs from Pickleball Studio all-court list; trait scores normalized.
Vatic Pro Saga Flash SH 16mm,99.99,all-court|budget|doubles,beginner|intermediate,8.03,5.3,16,7,8,8,8,Affordable hybrid all-court paddle with shorter handle and balanced play.,https://placehold.co/600x400/png?text=Vatic+Pro+Saga+Flash+SH+16mm,https://www.google.com/search?tbm=shop&q=Vatic+Pro+Saga+Flash+SH+16mm+pickleball+paddle+buy,https://www.google.com/search?tbm=isch&q=Vatic+Pro+Saga+Flash+SH+16mm+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-all-court-pickleball-paddles,Specs from Pickleball Studio all-court list; trait scores normalized.
